ego_start_x,ego_start_speed,target_start_x,target_start_speed,target_decel,target_decel_trigger
7.0,35.0,130.0,80.0,-6.5,37.0
117.0,95.0,50.0,35.0,-7.5,32.0
135.0,25.0,50.0,90.0,-2.0,16.0
61.0,85.0,295.0,75.0,-2.5,12.0
181.0,35.0,105.0,95.0,-7.5,27.0
7.0,80.0,295.0,75.0,-1.5,7.0
119.0,35.0,35.0,75.0,-0.5,18.0
161.0,40.0,225.0,55.0,-7.5,10.0
153.0,30.0,60.0,60.0,-7.5,24.0
135.0,90.0,115.0,20.0,-1.5,13.0
155.0,30.0,170.0,60.0,-4.0,16.0
43.0,100.0,35.0,20.0,-0.5,12.0
179.0,15.0,240.0,30.0,-1.5,14.0
123.0,140.0,100.0,25.0,-4.0,30.0
73.0,10.0,225.0,55.0,-2.0,28.0
151.0,55.0,150.0,45.0,-6.5,5.0
157.0,110.0,50.0,55.0,-1.0,12.0
89.0,35.0,215.0,90.0,-3.5,21.0
131.0,105.0,45.0,5.0,-5.0,29.0
87.0,0.0,245.0,40.0,-7.0,18.0
155.0,90.0,265.0,95.0,-6.5,19.0
179.0,15.0,210.0,65.0,-7.0,37.0
169.0,145.0,135.0,90.0,-0.5,16.0
39.0,125.0,40.0,85.0,-1.0,1.0
21.0,25.0,85.0,55.0,-3.0,20.0
37.0,20.0,90.0,100.0,-5.5,22.0
173.0,40.0,100.0,10.0,-3.5,11.0
163.0,80.0,65.0,40.0,-2.5,12.0
91.0,60.0,95.0,5.0,-4.5,4.0
77.0,55.0,295.0,35.0,-2.5,16.0
145.0,60.0,165.0,20.0,-0.5,19.0
79.0,30.0,200.0,65.0,-4.5,2.0
121.0,150.0,125.0,0.0,-2.0,7.0
159.0,40.0,215.0,75.0,-8.0,24.0
33.0,10.0,50.0,65.0,-4.5,15.0
63.0,150.0,55.0,25.0,-7.5,20.0
159.0,105.0,95.0,40.0,-5.5,40.0
123.0,140.0,75.0,60.0,-7.5,33.0
17.0,35.0,175.0,35.0,-7.5,11.0
137.0,70.0,140.0,50.0,-1.0,39.0
85.0,145.0,145.0,55.0,-3.0,26.0
89.0,75.0,90.0,45.0,-2.0,18.0
39.0,85.0,80.0,80.0,-6.0,14.0
145.0,60.0,130.0,45.0,-2.0,17.0
159.0,15.0,75.0,40.0,-3.5,13.0
147.0,55.0,45.0,15.0,-4.0,9.0
147.0,20.0,190.0,70.0,-5.0,6.0
107.0,25.0,215.0,40.0,-1.5,31.0
7.0,15.0,60.0,95.0,-3.5,34.0
17.0,60.0,130.0,45.0,-7.0,1.0
117.0,80.0,280.0,95.0,-3.0,13.0
165.0,95.0,95.0,75.0,-0.5,1.0
191.0,0.0,85.0,35.0,-6.0,3.0
161.0,5.0,225.0,85.0,-0.5,7.0
63.0,115.0,55.0,60.0,-1.5,36.0
99.0,25.0,60.0,10.0,-3.5,22.0
191.0,125.0,270.0,20.0,-5.0,2.0
135.0,100.0,150.0,25.0,-3.5,16.0
85.0,70.0,30.0,10.0,-8.0,13.0
49.0,0.0,30.0,30.0,-7.0,29.0
169.0,20.0,275.0,35.0,-1.5,14.0
175.0,100.0,195.0,50.0,-5.5,29.0
13.0,95.0,70.0,10.0,-1.0,16.0
23.0,95.0,250.0,95.0,-7.0,9.0
103.0,145.0,105.0,25.0,-6.5,23.0
131.0,35.0,205.0,95.0,-4.0,30.0
113.0,5.0,40.0,0.0,-3.5,34.0
93.0,55.0,85.0,45.0,-3.0,15.0
125.0,45.0,225.0,45.0,-5.5,15.0
31.0,75.0,125.0,80.0,0.0,15.0
171.0,35.0,260.0,25.0,-7.5,27.0
119.0,5.0,165.0,0.0,-0.5,2.0
177.0,30.0,180.0,95.0,-2.0,2.0
141.0,10.0,135.0,60.0,-2.0,36.0
105.0,15.0,295.0,35.0,-7.0,7.0
151.0,55.0,235.0,90.0,-1.5,14.0
189.0,80.0,80.0,10.0,-3.5,2.0
189.0,20.0,85.0,25.0,-4.0,16.0
113.0,30.0,40.0,10.0,-2.0,26.0
53.0,130.0,80.0,85.0,-1.0,9.0
195.0,20.0,170.0,35.0,-0.5,7.0
63.0,75.0,135.0,85.0,-5.5,27.0
69.0,75.0,115.0,95.0,-6.5,9.0
109.0,20.0,255.0,40.0,-7.0,19.0
41.0,30.0,190.0,45.0,-4.0,35.0
39.0,5.0,150.0,55.0,-4.5,22.0
131.0,95.0,260.0,90.0,-2.0,17.0
101.0,25.0,210.0,40.0,-1.0,26.0
45.0,140.0,60.0,90.0,-4.5,18.0
123.0,130.0,195.0,15.0,-5.5,23.0
15.0,60.0,130.0,70.0,-7.5,0.0
75.0,110.0,45.0,30.0,-5.5,38.0
101.0,70.0,35.0,100.0,-3.0,5.0
37.0,115.0,290.0,85.0,-0.5,32.0
133.0,105.0,105.0,65.0,-2.5,1.0
45.0,50.0,150.0,65.0,-3.5,7.0
161.0,145.0,260.0,15.0,-7.5,27.0
137.0,125.0,145.0,15.0,-5.0,6.0
197.0,0.0,200.0,100.0,-1.5,39.0
23.0,5.0,255.0,5.0,-3.5,14.0
31.0,115.0,165.0,95.0,-4.0,6.0
31.0,50.0,170.0,65.0,-1.5,5.0
13.0,115.0,90.0,10.0,-2.5,5.0
121.0,115.0,50.0,10.0,-2.5,29.0
65.0,105.0,210.0,95.0,-1.5,28.0
1.0,140.0,90.0,25.0,-4.0,25.0
91.0,75.0,40.0,90.0,-5.5,32.0
107.0,85.0,195.0,70.0,-4.5,36.0
129.0,35.0,180.0,90.0,-2.0,34.0
197.0,135.0,160.0,80.0,-1.5,39.0
107.0,135.0,185.0,5.0,-2.5,27.0
193.0,30.0,185.0,75.0,-3.5,3.0
107.0,45.0,85.0,45.0,-0.5,3.0
43.0,0.0,115.0,10.0,-4.5,4.0
117.0,125.0,40.0,80.0,-0.5,36.0
125.0,100.0,130.0,15.0,-4.5,37.0
173.0,140.0,80.0,80.0,-6.5,23.0
163.0,0.0,250.0,20.0,0.0,31.0
105.0,20.0,225.0,90.0,-5.0,28.0
195.0,100.0,55.0,15.0,-2.0,34.0
109.0,130.0,160.0,5.0,-5.5,0.0
165.0,20.0,240.0,50.0,-4.0,9.0
137.0,150.0,90.0,55.0,-5.0,10.0
189.0,40.0,160.0,0.0,-5.0,38.0
109.0,60.0,175.0,75.0,-3.5,12.0
75.0,40.0,155.0,50.0,-0.5,31.0
197.0,15.0,80.0,65.0,-1.0,19.0
121.0,10.0,255.0,75.0,-7.5,38.0
189.0,30.0,145.0,90.0,-7.0,33.0
69.0,85.0,75.0,90.0,-1.5,4.0
75.0,10.0,100.0,10.0,-3.0,22.0
187.0,90.0,65.0,75.0,-3.0,32.0
149.0,75.0,65.0,35.0,-0.5,22.0
165.0,125.0,140.0,20.0,-2.5,8.0
139.0,10.0,65.0,95.0,-5.5,29.0
199.0,20.0,85.0,100.0,-2.0,24.0
189.0,45.0,150.0,0.0,-5.0,25.0
193.0,75.0,35.0,10.0,-2.5,4.0
183.0,125.0,225.0,70.0,-7.5,37.0
43.0,30.0,295.0,35.0,-4.0,14.0
65.0,40.0,230.0,60.0,-1.0,32.0
53.0,20.0,245.0,70.0,-5.5,6.0
39.0,45.0,265.0,75.0,-6.0,38.0
113.0,15.0,85.0,60.0,-7.5,30.0
167.0,140.0,155.0,65.0,-3.5,4.0
77.0,20.0,210.0,85.0,-6.0,16.0
197.0,85.0,285.0,95.0,-5.5,15.0
51.0,110.0,95.0,30.0,-4.5,15.0
79.0,130.0,65.0,25.0,-5.5,8.0
27.0,55.0,275.0,90.0,-6.0,39.0
197.0,45.0,195.0,50.0,-0.5,24.0
161.0,40.0,115.0,95.0,0.0,39.0
113.0,10.0,130.0,90.0,-1.5,33.0
69.0,30.0,265.0,85.0,-2.5,10.0
13.0,50.0,300.0,70.0,-5.0,8.0
167.0,75.0,260.0,90.0,-6.0,11.0
177.0,35.0,260.0,45.0,-4.0,40.0
45.0,20.0,190.0,60.0,0.0,27.0
21.0,25.0,235.0,25.0,-1.0,22.0
187.0,130.0,200.0,30.0,-6.5,30.0
47.0,140.0,100.0,15.0,-3.5,32.0
67.0,5.0,280.0,15.0,-2.0,35.0
139.0,50.0,180.0,65.0,-8.0,27.0
57.0,5.0,155.0,70.0,-5.0,27.0
57.0,25.0,290.0,50.0,-2.5,6.0
31.0,45.0,220.0,45.0,-5.5,21.0
119.0,95.0,200.0,95.0,-7.5,38.0
109.0,45.0,205.0,85.0,-7.0,28.0
159.0,5.0,225.0,0.0,-6.5,37.0
3.0,5.0,185.0,45.0,-8.0,32.0
57.0,35.0,205.0,100.0,-0.5,19.0
75.0,20.0,45.0,75.0,-7.0,31.0
15.0,115.0,160.0,100.0,-3.0,2.0
143.0,85.0,145.0,45.0,-2.5,7.0
149.0,5.0,275.0,30.0,-4.5,6.0
17.0,85.0,265.0,60.0,-5.5,29.0
59.0,70.0,65.0,50.0,-5.5,12.0
29.0,105.0,90.0,20.0,-4.5,35.0
37.0,10.0,265.0,35.0,-3.0,26.0
199.0,120.0,205.0,65.0,-2.5,24.0
171.0,25.0,120.0,10.0,-1.5,16.0
133.0,95.0,60.0,10.0,-4.0,3.0
157.0,60.0,100.0,35.0,-2.0,23.0
3.0,65.0,150.0,50.0,-2.0,35.0
109.0,40.0,100.0,75.0,-3.5,31.0
15.0,140.0,75.0,5.0,-1.0,13.0
157.0,15.0,45.0,85.0,-1.0,4.0
35.0,15.0,95.0,95.0,-0.5,26.0
97.0,110.0,175.0,100.0,-6.5,19.0
33.0,110.0,65.0,20.0,-0.5,32.0
41.0,65.0,40.0,100.0,-1.0,3.0
119.0,10.0,285.0,100.0,-2.0,30.0
173.0,130.0,70.0,40.0,-8.0,29.0
137.0,105.0,40.0,5.0,-1.5,38.0
139.0,95.0,110.0,5.0,-6.0,35.0
189.0,145.0,215.0,15.0,-4.0,22.0
51.0,55.0,230.0,25.0,-1.5,25.0
167.0,40.0,165.0,85.0,-2.0,20.0
85.0,25.0,285.0,60.0,-2.5,26.0
51.0,90.0,50.0,55.0,-1.0,1.0
169.0,145.0,205.0,5.0,-2.5,37.0
103.0,120.0,35.0,5.0,-7.5,10.0
51.0,65.0,205.0,55.0,-2.5,29.0
99.0,120.0,165.0,25.0,-7.5,30.0
181.0,25.0,60.0,80.0,-6.0,37.0
73.0,40.0,60.0,65.0,-5.0,1.0
3.0,30.0,250.0,65.0,-7.0,23.0
31.0,60.0,260.0,20.0,-4.5,15.0
71.0,150.0,55.0,70.0,-1.5,11.0
43.0,10.0,185.0,90.0,-7.5,10.0
169.0,135.0,125.0,60.0,-4.0,32.0
177.0,5.0,290.0,95.0,-7.0,14.0
129.0,75.0,135.0,40.0,-7.5,11.0
157.0,90.0,275.0,95.0,-3.5,39.0
177.0,80.0,100.0,45.0,-2.0,11.0
153.0,60.0,145.0,70.0,-4.0,28.0
63.0,10.0,55.0,10.0,-6.5,24.0
183.0,75.0,105.0,65.0,-5.0,18.0
73.0,50.0,130.0,95.0,-7.5,20.0
33.0,130.0,50.0,10.0,-5.0,17.0
37.0,45.0,270.0,75.0,-1.5,26.0
15.0,50.0,190.0,95.0,-3.5,0.0
75.0,25.0,110.0,65.0,-3.0,25.0
93.0,55.0,125.0,5.0,-2.0,21.0
173.0,35.0,80.0,85.0,-2.0,28.0
87.0,5.0,290.0,80.0,-2.5,32.0
195.0,60.0,105.0,75.0,-3.0,18.0
177.0,40.0,140.0,30.0,-6.0,30.0
83.0,70.0,65.0,65.0,-7.5,25.0
143.0,40.0,140.0,80.0,-3.5,15.0
111.0,115.0,130.0,55.0,-8.0,8.0
29.0,80.0,140.0,65.0,-5.5,17.0
97.0,65.0,280.0,65.0,-4.5,10.0
111.0,70.0,280.0,55.0,-7.5,0.0
73.0,80.0,200.0,100.0,-3.5,17.0
171.0,60.0,170.0,15.0,-6.0,3.0
103.0,105.0,205.0,90.0,-5.5,4.0
69.0,45.0,255.0,25.0,-7.5,4.0
45.0,120.0,65.0,25.0,-6.5,14.0
171.0,115.0,105.0,80.0,-0.5,30.0
185.0,150.0,270.0,30.0,-7.5,28.0
199.0,0.0,75.0,55.0,-3.0,10.0
49.0,55.0,265.0,20.0,-2.0,36.0
127.0,145.0,220.0,10.0,-2.0,1.0
3.0,40.0,180.0,70.0,-4.0,29.0
11.0,5.0,185.0,45.0,-6.5,25.0
187.0,70.0,40.0,50.0,-0.5,38.0
105.0,120.0,85.0,55.0,-2.0,36.0
149.0,40.0,70.0,5.0,-3.5,30.0
105.0,140.0,155.0,75.0,-4.0,5.0
95.0,45.0,225.0,30.0,-1.0,37.0
179.0,85.0,165.0,70.0,-4.0,8.0
53.0,145.0,150.0,15.0,-6.5,25.0
23.0,15.0,95.0,40.0,-1.5,40.0
