ego_start_x,ego_start_speed,target_start_x,target_start_speed,target_decel,target_decel_trigger
75.0,105.0,155.0,20.0,-2.0,40.0
145.0,75.0,45.0,35.0,-2.5,15.0
173.0,130.0,260.0,35.0,-5.0,36.0
83.0,135.0,150.0,10.0,-3.0,27.0
141.0,55.0,215.0,50.0,-1.5,37.0
33.0,30.0,35.0,55.0,-5.0,34.0
111.0,65.0,60.0,50.0,-4.0,13.0
195.0,120.0,235.0,30.0,-5.5,29.0
3.0,125.0,95.0,45.0,-2.0,31.0
69.0,120.0,105.0,0.0,-4.0,40.0
145.0,140.0,175.0,50.0,-3.0,16.0
171.0,85.0,300.0,60.0,-3.0,28.0
5.0,55.0,65.0,85.0,-5.0,39.0
41.0,120.0,285.0,80.0,-2.5,19.0
39.0,5.0,250.0,25.0,-5.0,17.0
93.0,90.0,30.0,55.0,-4.5,32.0
153.0,60.0,150.0,60.0,-4.0,13.0
29.0,15.0,290.0,55.0,-2.0,17.0
119.0,70.0,285.0,25.0,-0.5,25.0
125.0,25.0,265.0,25.0,-6.0,38.0
61.0,60.0,100.0,35.0,-1.5,27.0
81.0,115.0,165.0,55.0,-1.5,27.0
131.0,110.0,125.0,65.0,-2.5,30.0
23.0,130.0,85.0,95.0,-1.5,20.0
77.0,50.0,70.0,90.0,-3.0,38.0
131.0,120.0,35.0,95.0,-1.0,32.0
173.0,110.0,160.0,45.0,-3.0,24.0
71.0,30.0,270.0,80.0,-4.0,22.0
149.0,120.0,230.0,70.0,-2.5,24.0
47.0,65.0,175.0,40.0,-2.5,19.0
103.0,85.0,105.0,20.0,-5.5,29.0
115.0,20.0,245.0,25.0,-5.5,35.0
113.0,85.0,115.0,40.0,-0.5,14.0
177.0,70.0,230.0,15.0,-4.5,20.0
101.0,120.0,155.0,65.0,0.0,26.0
95.0,45.0,180.0,20.0,-4.0,35.0
119.0,115.0,120.0,45.0,-1.5,21.0
143.0,140.0,295.0,75.0,-4.0,34.0
155.0,60.0,50.0,55.0,-1.0,32.0
189.0,75.0,145.0,60.0,-5.5,25.0
49.0,10.0,110.0,10.0,-0.5,12.0
171.0,95.0,110.0,20.0,-5.5,20.0
139.0,55.0,215.0,55.0,-3.5,39.0
165.0,150.0,200.0,5.0,-4.0,28.0
9.0,65.0,210.0,35.0,-1.0,23.0
39.0,95.0,70.0,10.0,-1.0,27.0
185.0,40.0,255.0,75.0,-3.5,16.0
81.0,135.0,225.0,75.0,-3.0,19.0
161.0,35.0,175.0,40.0,-1.5,24.0
17.0,145.0,150.0,80.0,-4.5,38.0
135.0,90.0,225.0,35.0,-1.0,26.0
73.0,10.0,195.0,15.0,-2.5,26.0
19.0,20.0,125.0,5.0,-6.0,24.0
69.0,140.0,150.0,45.0,-3.5,40.0
33.0,110.0,200.0,20.0,-6.0,18.0
61.0,130.0,140.0,75.0,-0.5,22.0
171.0,35.0,200.0,100.0,-2.5,16.0
191.0,10.0,240.0,85.0,-4.5,25.0
39.0,45.0,195.0,75.0,-1.5,13.0
31.0,105.0,285.0,65.0,-6.0,39.0
157.0,125.0,40.0,90.0,-0.5,32.0
15.0,70.0,70.0,50.0,-1.5,36.0
