ego_start_x,ego_speed,target_start_x,target_speed,target_decel,target_decel_trigger,collision_occurred,impact_speed,aeb_triggered,speed_reduction
11.0,115.0,95.0,90.0,-0.5,36.0,False,0.0,True,58.68
95.0,85.0,170.0,60.0,-1.0,4.0,False,0.0,True,76.5
97.0,25.0,115.0,15.0,-3.0,19.0,False,0.0,True,25.0
67.0,45.0,230.0,10.0,-0.5,26.0,False,0.0,True,45.0
31.0,25.0,60.0,5.0,-6.0,39.0,False,0.0,True,25.0
89.0,40.0,155.0,5.0,-4.5,37.0,False,0.0,True,40.0
101.0,100.0,170.0,40.0,-0.5,10.0,True,19.68,True,42.12
5.0,20.0,50.0,10.0,-3.0,34.0,False,0.0,True,20.0
53.0,75.0,190.0,15.0,0.0,30.0,True,17.88,True,42.12
11.0,95.0,110.0,75.0,0.0,25.0,False,0.0,True,27.0
47.0,105.0,105.0,80.0,-2.0,5.0,False,0.0,True,105.0
187.0,95.0,260.0,65.0,0.0,26.0,False,0.0,True,37.26
189.0,75.0,235.0,65.0,-0.5,32.0,False,0.0,True,48.96
1.0,60.0,125.0,30.0,-1.0,11.0,False,0.0,True,60.0
129.0,30.0,185.0,15.0,-2.0,34.0,False,0.0,True,30.0
141.0,125.0,285.0,85.0,-2.5,3.0,False,0.0,True,125.0
189.0,30.0,260.0,15.0,-3.0,22.0,False,0.0,True,30.0
153.0,90.0,280.0,60.0,-1.0,3.0,False,0.0,True,72.0
155.0,55.0,240.0,0.0,-3.5,30.0,True,10.9,True,44.1
33.0,80.0,90.0,55.0,-1.0,19.0,False,0.0,True,80.0
49.0,100.0,95.0,75.0,-2.5,5.0,False,0.0,True,100.0
75.0,60.0,160.0,20.0,0.0,31.0,False,0.0,True,48.42
151.0,35.0,240.0,0.0,-5.0,7.0,False,0.0,True,35.0
173.0,30.0,250.0,15.0,-0.5,17.0,False,0.0,True,30.0
59.0,70.0,230.0,25.0,0.0,6.0,False,0.0,True,52.38
55.0,100.0,135.0,45.0,-1.0,12.0,True,17.2,True,42.12
149.0,60.0,240.0,40.0,-0.5,37.0,False,0.0,True,51.48
33.0,50.0,75.0,5.0,-2.5,28.0,False,0.0,True,50.0
115.0,30.0,215.0,5.0,-2.0,20.0,False,0.0,True,30.0
3.0,60.0,105.0,5.0,-5.0,37.0,True,18.96,True,41.04
73.0,110.0,150.0,95.0,-2.5,1.0,False,0.0,True,21.42
97.0,115.0,225.0,70.0,-4.5,2.0,True,9.9,True,43.2
69.0,35.0,135.0,15.0,-3.5,36.0,False,0.0,True,35.0
185.0,50.0,245.0,5.0,-3.5,38.0,True,7.88,True,42.12
47.0,65.0,80.0,50.0,-1.0,10.0,False,0.0,True,65.0
73.0,100.0,125.0,80.0,-0.5,6.0,False,0.0,True,54.54
135.0,70.0,185.0,40.0,-2.0,1.0,False,0.0,True,36.18
15.0,110.0,100.0,75.0,-0.5,22.0,False,0.0,True,71.82
161.0,60.0,265.0,5.0,-0.5,39.0,True,15.9,True,44.1
159.0,80.0,265.0,45.0,-1.5,7.0,True,0.82,True,43.38
135.0,105.0,240.0,60.0,-3.5,3.0,True,11.34,True,41.22
47.0,50.0,195.0,0.0,-6.0,39.0,True,3.74,True,46.26
85.0,130.0,155.0,75.0,-0.5,18.0,True,16.84,True,41.04
65.0,70.0,175.0,25.0,-6.0,1.0,True,6.3,True,47.34
83.0,50.0,205.0,5.0,-6.0,40.0,True,9.86,True,40.14
93.0,30.0,220.0,5.0,-0.5,22.0,False,0.0,True,30.0
113.0,55.0,230.0,0.0,-5.5,5.0,True,3.7,True,51.3
89.0,65.0,165.0,15.0,-1.5,8.0,True,15.26,True,40.14
21.0,55.0,160.0,20.0,-5.5,34.0,True,10.9,True,44.1
155.0,140.0,240.0,100.0,0.0,39.0,False,0.0,True,48.42
127.0,135.0,235.0,95.0,-1.5,7.0,True,5.26,True,41.22
119.0,95.0,150.0,85.0,-1.0,13.0,False,0.0,True,85.68
57.0,10.0,85.0,0.0,-5.0,2.0,False,0.0,True,10.0
91.0,125.0,240.0,75.0,-3.5,2.0,True,8.06,True,48.24
27.0,55.0,105.0,35.0,-1.5,4.0,False,0.0,True,55.0
137.0,25.0,185.0,15.0,-0.5,28.0,False,0.0,True,25.0
31.0,55.0,135.0,5.0,-0.5,4.0,True,9.14,True,42.12
167.0,60.0,225.0,20.0,-3.0,4.0,True,5.44,True,44.28
47.0,55.0,100.0,10.0,-2.5,35.0,True,7.84,True,47.16
95.0,35.0,125.0,20.0,-3.0,29.0,False,0.0,True,35.0
25.0,105.0,155.0,50.0,-3.0,2.0,True,10.18,True,50.22
19.0,115.0,155.0,75.0,-3.0,1.0,True,4.0,True,40.32
35.0,30.0,125.0,5.0,-1.0,8.0,False,0.0,True,30.0
5.0,30.0,155.0,0.0,-1.0,6.0,False,0.0,True,30.0
73.0,60.0,240.0,25.0,0.0,25.0,False,0.0,True,42.3
101.0,30.0,140.0,5.0,-0.5,23.0,False,0.0,True,30.0
7.0,90.0,295.0,35.0,-0.5,18.0,True,15.76,True,42.12
25.0,120.0,110.0,80.0,-1.0,1.0,False,0.0,True,100.44
109.0,110.0,205.0,60.0,-2.0,0.0,False,0.0,True,60.48
149.0,50.0,250.0,30.0,-2.5,2.0,False,0.0,True,26.1
145.0,110.0,275.0,85.0,0.0,29.0,False,0.0,True,31.14
